exp1_stim,exp2_stim,calib_loop.thisRepN,calib_loop.thisTrialN,calib_loop.thisN,calib_loop.thisIndex,exp1_stimulus_loop.thisRepN,exp1_stimulus_loop.thisTrialN,exp1_stimulus_loop.thisN,exp1_stimulus_loop.thisIndex,exp2_stimulus_loop.thisRepN,exp2_stimulus_loop.thisTrialN,exp2_stimulus_loop.thisN,exp2_stimulus_loop.thisIndex,calib_instr_text.started,calib_instr_resp.started,calib_text.started,calib_resp.started,calib_resp.keys,calib_resp.rt,calib_resp.duration,text.started,key_resp.started,image.started,etRecord.started,candidate_rating_question.started,candidate_rating.started,candidate_rating.response,candidate_rating.rt,image_clarity_question.started,image_clarity_rating.started,image_clarity_rating.response,image_clarity_rating.rt,comprehension_question.started,comprehension_rating.started,comprehension_rating.response,comprehension_rating.rt,image_2.started,etRecord_2.started,task,participant,date,expName,psychopyVersion,frameRate,
,,0,0,0,0,,,,,,,,,2335.35468580015,2335.35468580015,2388.1203033002093,2388.1203033002093,['n'],[1.0818270999006927],[None],,,,,,,,,,,,,,,,,,,midterm,duchowski,2024-10-30_12h53.16.524,calib_ET,2023.1.3,59.97418702506297,
./stimuli/Resume2.png,,,,,,0,0,0,0,,,,,,,,,,,,2389.237200300209,2389.237200300209,2435.6694764001295,0.21647919993847609,2443.469065700192,2443.469065700192,3.074074074074074,6.260376499965787,2449.7522706999443,2449.7522706999443,3.911111111111111,4.598667200189084,2454.368942500092,2454.368942500092,4.988888888888889,3.498295699711889,,,midterm,duchowski,2024-10-30_12h53.16.524,calib_ET,2023.1.3,59.97418702506297,
./stimuli/Resume1.png,,,,,,0,1,1,1,,,,,,,,,,,,2457.885560300201,2457.885560300201,2462.668828499969,0.07184469979256392,2470.6184972999617,2470.6184972999617,4.937037037037037,3.1124187996611,2473.751845800318,2473.751845800318,3.977777777777778,2.2820458002388477,2476.0518225003034,2476.0518225003034,2.9814814814814814,11.298484700266272,,,midterm,duchowski,2024-10-30_12h53.16.524,calib_ET,2023.1.3,59.97418702506297,
,./stimuli/Resume4.png,,,,,,,,,0,0,0,1,,,,,,,,2487.384902200196,2487.384902200196,,,2497.8679716000333,2497.8679716000333,3.9962962962962965,2.331542099826038,2500.217878700234,2500.217878700234,3.977777777777778,3.7154048001393676,2503.9512817002833,2503.9512817002833,3.0148148148148146,7.582000500056893,2490.0014972002245,0.1557242996059358,midterm,duchowski,2024-10-30_12h53.16.524,calib_ET,2023.1.3,59.97418702506297,
,./stimuli/Resume3.png,,,,,,,,,0,1,1,0,,,,,,,,2511.5510925003327,2511.5510925003327,,,2521.517557100393,2521.517557100393,4.011111111111111,1.5443790997378528,2523.0840985001996,2523.0840985001996,3.0444444444444443,2.582100000232458,2525.6840699999593,2525.6840699999593,3.974074074074074,1.5153653002344072,2513.567532300018,0.0733445999212563,midterm,duchowski,2024-10-30_12h53.16.524,calib_ET,2023.1.3,59.97418702506297,
