exp1_stim,exp2_stim,calib_loop.thisRepN,calib_loop.thisTrialN,calib_loop.thisN,calib_loop.thisIndex,exp1_stimulus_loop.thisRepN,exp1_stimulus_loop.thisTrialN,exp1_stimulus_loop.thisN,exp1_stimulus_loop.thisIndex,exp2_stimulus_loop.thisRepN,exp2_stimulus_loop.thisTrialN,exp2_stimulus_loop.thisN,exp2_stimulus_loop.thisIndex,calib_instr_text.started,calib_instr_resp.started,calib_text.started,calib_resp.started,calib_resp.keys,calib_resp.rt,calib_resp.duration,text.started,key_resp.started,job_description.started,job_posting_key_resp.started,job_posting_key_resp.keys,job_posting_key_resp.rt,job_posting_key_resp.duration,image.started,etRecord.started,candidate_rating_question.started,candidate_rating.started,candidate_rating.response,candidate_rating.rt,image_clarity_question.started,image_clarity_rating.started,image_clarity_rating.response,image_clarity_rating.rt,comprehension_question.started,comprehension_rating.started,comprehension_rating.response,comprehension_rating.rt,image_2.started,etRecord_2.started,task,participant,date,expName,psychopyVersion,frameRate,
,,0,0,0,0,,,,,,,,,26.49080209992826,26.49080209992826,90.04699359997176,90.04699359997176,['n'],[4.876149599906057],[None],,,,,,,,,,,,,,,,,,,,,,,,ben,ben,2024-11-25_12h21.03.170,experiment,2023.1.3,59.98652699328095,
./stimuli/Resume1.png,,,,,,0,0,0,1,,,,,,,,,,,,94.95148849999532,94.95148849999532,104.6892798000481,104.6892798000481,space,39.7221687999554,None,144.64141370006837,0.21531010000035167,153.44699129997753,153.44699129997753,3.985185185185185,17.348325999919325,170.8209474000614,170.8209474000614,3.5703703703703704,6.131347199901938,176.9708201000467,176.9708201000467,1.6407407407407408,8.582134400028735,,,ben,ben,2024-11-25_12h21.03.170,experiment,2023.1.3,59.98652699328095,
./stimuli/Resume2.png,,,,,,0,1,1,0,,,,,,,,,,,,185.57074220012873,185.57074220012873,192.2038753000088,192.2038753000088,space,17.648204499855638,None,209.9868906000629,0.11479490017518401,217.88690249994397,217.88690249994397,2.011111111111111,25.71458250004798,243.6197635999415,243.6197635999415,2.651851851851852,5.665518099907786,249.30308580002747,249.30308580002747,2.248148148148148,2.848372000036761,,,ben,ben,2024-11-25_12h21.03.170,experiment,2023.1.3,59.98652699328095,
,./stimuli/Resume4.png,,,,,,,,,0,0,0,1,,,,,,,,252.16952070011757,252.16952070011757,256.48621520004235,256.48621520004235,space,11.236614899942651,None,,,275.76925430004485,275.76925430004485,3.6222222222222222,3.5457993000745773,279.3358539000619,279.3358539000619,3.037037037037037,3.2649813999887556,282.6191334000323,282.6191334000323,2.8555555555555556,2.3320512999780476,267.93635500012897,0.1927420999854803,ben,ben,2024-11-25_12h21.03.170,experiment,2023.1.3,59.98652699328095,
,./stimuli/Resume3.png,,,,,,,,,0,1,1,0,,,,,,,,284.96917159995064,284.96917159995064,287.16902010003105,287.16902010003105,space,6.921980200102553,None,,,302.1354970999528,302.1354970999528,3.9814814814814814,11.132584900129586,313.2853594000917,313.2853594000917,2.9703703703703703,6.498125500045717,319.80188459996134,319.80188459996134,2.925925925925926,4.681965499883518,294.2524083000608,0.13091089995577931,ben,ben,2024-11-25_12h21.03.170,experiment,2023.1.3,59.98652699328095,
